transactionId, period, transactionStatus, units, magnitude, subject
41,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
42,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
43,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
44,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
48,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
49,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
50,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
51,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
52,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
53,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
54,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
55,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
56,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
57,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
58,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
59,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
60,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
61,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
62,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
63,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
64,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
65,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
66,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
70,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
71,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
72,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
73,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
74,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
75,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
76,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
77,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
78,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
79,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
80,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
81,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
82,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
83,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
84,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
85,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
86,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
88,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
92,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
93,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
94,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
95,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
96,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
97,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
98,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
99,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
100,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
101,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
102,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
103,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
104,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
105,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
106,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
107,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
108,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
109,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
110,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
114,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
115,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
116,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
117,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
118,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
119,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
120,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
121,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
122,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
123,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
124,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
125,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
126,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
127,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
128,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
129,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
130,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
131,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
132,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
136,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
137,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
138,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
139,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
140,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
141,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
142,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
143,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
144,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
145,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
146,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
147,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
148,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
149,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
150,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
151,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
152,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
153,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
154,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
158,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
159,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
160,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
161,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
162,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
163,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
164,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
165,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
166,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
167,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
168,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
169,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
170,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
171,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
172,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
173,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
174,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
175,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
176,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
180,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
181,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
182,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
183,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
184,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
185,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
186,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
187,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
188,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
189,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
190,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
191,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
192,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
193,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
194,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
195,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
196,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
197,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
198,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
202,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
203,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
204,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
205,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
206,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
207,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
208,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
209,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
210,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
211,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
212,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
213,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
214,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
215,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
216,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
217,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
218,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
219,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
220,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
224,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
225,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
226,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
227,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
228,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
229,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
230,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
231,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
232,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
233,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
234,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
235,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
236,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
237,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
238,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
239,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
240,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
241,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
242,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
246,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
247,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
248,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
249,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
250,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
251,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
252,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
253,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
254,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
255,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
256,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
257,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
258,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
259,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
260,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
261,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
262,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
263,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
264,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
268,2004.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
269,2005.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
270,2006.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
271,2007.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
272,2008.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
273,2009.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
274,2010.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
275,2011.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
276,2012.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
277,2013.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
278,2014.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
279,2015.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
280,2016.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
281,2017.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
282,2018.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
283,2019.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
284,2020.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
285,2021.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
286,2022.03,TRANSACTION FAILED,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT
290,2004.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
291,2005.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
292,2006.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
293,2007.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
294,2008.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
295,2009.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
296,2010.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
297,2011.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
298,2012.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
299,2013.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
300,2014.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
301,2015.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
302,2016.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
303,2017.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
304,2018.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
305,2019.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
306,2020.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
307,2021.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
308,2022.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
312,2004.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
313,2005.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
314,2006.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
315,2007.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
316,2008.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
317,2009.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
318,2010.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
319,2011.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
320,2012.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
321,2013.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
322,2014.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
323,2015.03,TRANSACTION FAILED,Number,0,Electronic Card Transactions (ANZSIC06) - ECT
